competition_id,competition_name,league,season_id,season_name,season,match_id,start_time,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466969,2024-03-17T16:00:00+00:00,sr:competitor:331853,FBC Ceska Lipa,sr:competitor:25902,Tatran Stresovice,2,6
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466977,2024-03-17T17:00:00+00:00,sr:competitor:44604,Sparta Prague,sr:competitor:44614,Florbal Chodov,8,7
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537113,2024-03-18T16:30:00+00:00,sr:competitor:4159,Oilers Espoo,sr:competitor:282983,LASB Lahti,15,4
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48574501,2024-03-19T15:15:00+00:00,sr:competitor:37852,1. SC Vitkovice Ostrava,sr:competitor:44610,FbS Bohemians Prague,6,5
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537173,2024-03-19T16:30:00+00:00,sr:competitor:25241,Nokian KRP,sr:competitor:6584,SPV,6,1
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537117,2024-03-19T16:30:00+00:00,sr:competitor:4161,SC Classic Tampere,sr:competitor:4158,Happee Jyvaskyla,5,6
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48639805,2024-03-19T18:00:00+00:00,sr:competitor:940129,FB Hurrican Karlovy Vary,sr:competitor:1033945,Buchis,6,3
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48665603,2024-03-19T18:00:00+00:00,sr:competitor:44614,Florbal Chodov,sr:competitor:44604,Sparta Prague,5,3
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:49568583,2024-03-20T16:30:00+00:00,sr:competitor:224502,EraViikingit,sr:competitor:4164,KOOVEE,0,3
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:49568623,2024-03-20T16:30:00+00:00,sr:competitor:49904,M-Team,sr:competitor:174868,Salba,9,6
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:49568603,2024-03-20T16:30:00+00:00,sr:competitor:940309,FBC Turku,sr:competitor:4166,Kirkkonummi Rangers,10,2
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537185,2024-03-20T16:30:00+00:00,sr:competitor:65930,Westend Indians,sr:competitor:7984,TPS Turku,5,3
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48493897,2024-03-20T18:00:00+00:00,sr:competitor:630970,Black Angels Prague,sr:competitor:44611,Sokoli Pardubice,4,3
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537287,2024-03-21T16:30:00+00:00,sr:competitor:4158,Happee Jyvaskyla,sr:competitor:4161,SC Classic Tampere,4,7
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48662501,2024-03-21T16:30:00+00:00,sr:competitor:44610,FbS Bohemians Prague,sr:competitor:37852,1. SC Vitkovice Ostrava,3,6
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537285,2024-03-21T16:30:00+00:00,sr:competitor:282983,LASB Lahti,sr:competitor:4159,Oilers Espoo,2,7
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666399,2024-03-21T17:30:00+00:00,sr:competitor:5745,IBF Falun,sr:competitor:24122,Mullsjo AIS,11,2
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666401,2024-03-21T17:30:00+00:00,sr:competitor:34558,Vaxjo IBK,sr:competitor:118114,FBC Kalmarsund,2,4
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537291,2024-03-22T16:30:00+00:00,sr:competitor:7984,TPS Turku,sr:competitor:65930,Westend Indians,2,4
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537289,2024-03-22T16:30:00+00:00,sr:competitor:6584,SPV,sr:competitor:25241,Nokian KRP,5,8
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666403,2024-03-22T17:30:00+00:00,sr:competitor:4144,Storvreta IBK,sr:competitor:4143,Jonkopings IK,4,3
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666405,2024-03-22T18:00:00+00:00,sr:competitor:4138,Pixbo Wallenstam,sr:competitor:41254,Linkoping IBK,6,5
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48665571,2024-03-22T18:00:00+00:00,sr:competitor:44611,Sokoli Pardubice,sr:competitor:630970,Black Angels Prague,6,5
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:49568739,2024-03-23T15:00:00+00:00,sr:competitor:627728,Tikkurilan Tiikerit,sr:competitor:1000509,Lnm,8,7
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666407,2024-03-23T15:00:00+00:00,sr:competitor:24122,Mullsjo AIS,sr:competitor:5745,IBF Falun,3,6
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48759177,2024-03-23T16:30:00+00:00,sr:competitor:4161,SC Classic Tampere,sr:competitor:4158,Happee Jyvaskyla,4,7
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:49568589,2024-03-23T16:30:00+00:00,sr:competitor:4164,KOOVEE,sr:competitor:224502,EraViikingit,4,5
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666409,2024-03-23T17:00:00+00:00,sr:competitor:118114,FBC Kalmarsund,sr:competitor:34558,Vaxjo IBK,6,10
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666413,2024-03-24T12:00:00+00:00,sr:competitor:41254,Linkoping IBK,sr:competitor:4138,Pixbo Wallenstam,3,5
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666411,2024-03-24T15:00:00+00:00,sr:competitor:4143,Jonkopings IK,sr:competitor:4144,Storvreta IBK,0,5
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48662519,2024-03-24T15:00:00+00:00,sr:competitor:65930,Westend Indians,sr:competitor:7984,TPS Turku,5,4
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48665163,2024-03-24T15:00:00+00:00,sr:competitor:25241,Nokian KRP,sr:competitor:6584,SPV,4,5
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48912821,2024-03-24T16:00:00+00:00,sr:competitor:630970,Black Angels Prague,sr:competitor:44611,Sokoli Pardubice,4,2
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48928337,2024-03-25T16:30:00+00:00,sr:competitor:4158,Happee Jyvaskyla,sr:competitor:4161,SC Classic Tampere,3,8
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666415,2024-03-25T17:30:00+00:00,sr:competitor:5745,IBF Falun,sr:competitor:24122,Mullsjo AIS,9,4
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666417,2024-03-25T17:30:00+00:00,sr:competitor:34558,Vaxjo IBK,sr:competitor:118114,FBC Kalmarsund,6,10
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48946619,2024-03-26T16:30:00+00:00,sr:competitor:6584,SPV,sr:competitor:25241,Nokian KRP,2,3
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666423,2024-03-26T17:30:00+00:00,sr:competitor:4138,Pixbo Wallenstam,sr:competitor:41254,Linkoping IBK,4,6
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666419,2024-03-26T17:30:00+00:00,sr:competitor:4144,Storvreta IBK,sr:competitor:4143,Jonkopings IK,5,6
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48912845,2024-03-27T18:00:00+00:00,sr:competitor:25902,Tatran Stresovice,sr:competitor:44614,Florbal Chodov,6,1
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48912829,2024-03-27T19:10:00+00:00,sr:competitor:44609,Florbal Mlada Boleslav,sr:competitor:37852,1. SC Vitkovice Ostrava,7,8
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48912833,2024-03-28T17:00:00+00:00,sr:competitor:44609,Florbal Mlada Boleslav,sr:competitor:37852,1. SC Vitkovice Ostrava,7,6
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666427,2024-03-28T18:00:00+00:00,sr:competitor:118114,FBC Kalmarsund,sr:competitor:34558,Vaxjo IBK,1,8
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666425,2024-03-28T18:00:00+00:00,sr:competitor:24122,Mullsjo AIS,sr:competitor:5745,IBF Falun,3,9
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48912849,2024-03-28T18:30:00+00:00,sr:competitor:25902,Tatran Stresovice,sr:competitor:44614,Florbal Chodov,5,3
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666431,2024-03-29T14:00:00+00:00,sr:competitor:41254,Linkoping IBK,sr:competitor:4138,Pixbo Wallenstam,4,8
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:48666429,2024-03-29T15:00:00+00:00,sr:competitor:4143,Jonkopings IK,sr:competitor:4144,Storvreta IBK,4,8
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:49568743,2024-03-29T16:30:00+00:00,sr:competitor:224502,EraViikingit,sr:competitor:627728,Tikkurilan Tiikerit,2,1
