competition_id,league,season,home_rank,away_rank,rank_diff,home_table_points,away_table_points,table_points_diff,home_played,away_played,home_goal_diff,away_goal_diff,goal_diff_diff,home_form_last5,away_form_last5,form_diff_last5,home_goals_for_avg_last5,home_goals_against_avg_last5,away_goals_for_avg_last5,away_goals_against_avg_last5,home_home_form_last5,away_away_form_last5,target_home_win
sr:competition:306,finland,F-Liiga 23/24,10,7,-3,6,9,-3,6,6,-14,3,-17,1.2,1.8,-0.6000000000000001,4.4,6.0,6.0,5.2,1.5,1.5,1
sr:competition:255,czech,Svenska Superligan 23/24,12,8,-4,3,6,-3,4,4,-11,-3,-8,0.75,1.5,-0.75,3.75,6.5,6.5,7.25,1.5,1.5,1
sr:competition:306,finland,F-Liiga 23/24,7,6,-1,9,12,-3,7,5,-2,6,-8,1.8,2.4,-0.5999999999999999,6.2,5.4,5.2,4.0,1.5,3.0,1
sr:competition:306,finland,F-Liiga 23/24,1,10,9,15,6,9,6,4,24,-4,28,2.4,1.5,0.8999999999999999,7.2,3.8,5.25,6.25,3.0,1.5,1
sr:competition:306,finland,F-Liiga 23/24,5,3,-2,12,12,0,6,7,10,15,-5,1.8,2.4,-0.5999999999999999,6.8,5.0,7.0,3.0,2.25,1.0,1
sr:competition:829,czech,Extraliga 23/24,12,9,-3,3,6,-3,6,6,-19,-4,-15,0.0,0.6,-0.6,3.8,8.0,7.6,8.6,0.0,1.0,0
sr:competition:255,czech,Svenska Superligan 23/24,6,3,-3,6,9,-3,4,4,10,12,-2,1.5,2.25,-0.75,7.75,5.25,5.75,2.75,3.0,3.0,0
sr:competition:255,czech,Svenska Superligan 23/24,13,4,-9,3,9,-6,4,4,-14,11,-25,0.75,2.25,-1.5,5.25,8.75,7.0,4.25,1.5,1.5,1
sr:competition:255,czech,Svenska Superligan 23/24,9,12,3,6,3,3,4,4,-6,-4,-2,1.5,0.75,0.75,7.5,9.0,5.75,6.75,3.0,0.0,0
sr:competition:829,czech,Extraliga 23/24,2,9,7,18,9,9,6,6,24,-11,35,3.0,1.8,1.2,9.2,5.4,4.0,4.4,3.0,2.0,0
sr:competition:306,finland,F-Liiga 23/24,3,8,5,15,9,6,6,7,10,-9,19,3.0,1.8,1.2,7.8,4.4,5.8,5.0,2.0,0.75,1
sr:competition:306,finland,F-Liiga 23/24,9,12,3,6,0,6,7,6,6,-41,47,0.6,0.0,0.6,6.0,5.2,2.6,10.6,1.5,0.0,1
sr:competition:829,czech,Extraliga 23/24,3,10,7,15,6,9,6,6,9,-13,22,2.4,1.2,1.2,7.6,7.6,3.8,6.0,3.0,1.0,1
sr:competition:829,czech,Extraliga 23/24,13,7,-6,3,9,-6,6,6,-25,17,-42,0.6,1.8,-1.2000000000000002,4.8,8.0,8.4,4.8,0.0,3.0,0
sr:competition:306,finland,F-Liiga 23/24,4,9,5,12,9,3,7,8,12,-11,23,1.8,1.2,0.6000000000000001,6.4,4.6,5.6,5.8,1.0,0.6,1
sr:competition:255,czech,Svenska Superligan 23/24,14,2,-12,0,12,-12,4,4,-21,7,-28,0.0,3.0,-3.0,3.0,8.25,5.75,4.0,0.0,3.0,0
sr:competition:255,czech,Svenska Superligan 23/24,3,7,4,9,6,3,4,4,12,5,7,2.25,1.5,0.75,6.5,3.5,8.0,6.75,1.5,0.0,1
sr:competition:255,czech,Svenska Superligan 23/24,5,13,8,9,3,6,4,4,9,-7,16,2.25,0.75,1.5,6.75,4.5,4.5,6.25,3.0,0.0,1
