competition_id,season_id,season_name,team_id,team_name,official_rank,official_points,official_played,official_wins,official_losses,source_phase_text
sr:competition:306,sr:season:132108,F-Liiga 25/26,sr:competitor:282983,LASB Lahti,11,15,32,,,f-liiga 25/26 regular season league
sr:competition:306,sr:season:132108,F-Liiga 25/26,sr:competitor:940309,FBC Turku,12,6,32,,,f-liiga 25/26 regular season league
sr:competition:313,sr:season:109891,Unihockey Prime League 23/24,sr:competitor:7989,HC Rychenberg Winterthur,1,56,22,,,unihockey prime league 23/24 regular season league
sr:competition:313,sr:season:109891,Unihockey Prime League 23/24,sr:competitor:7990,SV Wiler-Ersigen,2,56,22,,,unihockey prime league 23/24 regular season league
sr:competition:313,sr:season:109891,Unihockey Prime League 23/24,sr:competitor:40235,Zug United,3,53,22,,,unihockey prime league 23/24 regular season league
sr:competition:313,sr:season:109891,Unihockey Prime League 23/24,sr:competitor:7988,Grasshopper Club Zurich,4,41,22,,,unihockey prime league 23/24 regular season league
sr:competition:313,sr:season:109891,Unihockey Prime League 23/24,sr:competitor:7992,UHC Alligator Malans,5,35,22,,,unihockey prime league 23/24 regular season league
sr:competition:313,sr:season:109891,Unihockey Prime League 23/24,sr:competitor:7991,Unihockey Tigers Langnau,6,32,22,,,unihockey prime league 23/24 regular season league
sr:competition:313,sr:season:109891,Unihockey Prime League 23/24,sr:competitor:146822,Floorball Thurgau,7,32,22,,,unihockey prime league 23/24 regular season league
sr:competition:313,sr:season:109891,Unihockey Prime League 23/24,sr:competitor:7987,Floorball Koniz,8,23,22,,,unihockey prime league 23/24 regular season league
sr:competition:313,sr:season:109891,Unihockey Prime League 23/24,sr:competitor:557142,Unihockey Basel Regio,9,20,22,,,unihockey prime league 23/24 regular season league
sr:competition:313,sr:season:109891,Unihockey Prime League 23/24,sr:competitor:22049,UHC Waldkirch-St. Gallen,10,17,22,,,unihockey prime league 23/24 regular season league
sr:competition:313,sr:season:109891,Unihockey Prime League 23/24,sr:competitor:7986,Chur Unihockey,11,16,22,,,unihockey prime league 23/24 regular season league
sr:competition:313,sr:season:109891,Unihockey Prime League 23/24,sr:competitor:7994,UHC Uster,12,15,22,,,unihockey prime league 23/24 regular season league
sr:competition:313,sr:season:121415,Unihockey Prime League 24/25,sr:competitor:40235,Zug United,1,51,22,,,unihockey prime league 24/25 regular season league
sr:competition:313,sr:season:121415,Unihockey Prime League 24/25,sr:competitor:7990,SV Wiler-Ersigen,2,50,22,,,unihockey prime league 24/25 regular season league
sr:competition:313,sr:season:121415,Unihockey Prime League 24/25,sr:competitor:7989,HC Rychenberg Winterthur,3,41,22,,,unihockey prime league 24/25 regular season league
sr:competition:313,sr:season:121415,Unihockey Prime League 24/25,sr:competitor:7991,Unihockey Tigers Langnau,4,40,22,,,unihockey prime league 24/25 regular season league
sr:competition:313,sr:season:121415,Unihockey Prime League 24/25,sr:competitor:146822,Floorball Thurgau,5,38,22,,,unihockey prime league 24/25 regular season league
sr:competition:313,sr:season:121415,Unihockey Prime League 24/25,sr:competitor:7987,Floorball Koniz,6,37,22,,,unihockey prime league 24/25 regular season league
sr:competition:313,sr:season:121415,Unihockey Prime League 24/25,sr:competitor:7994,UHC Uster,7,34,22,,,unihockey prime league 24/25 regular season league
sr:competition:313,sr:season:121415,Unihockey Prime League 24/25,sr:competitor:7988,Grasshopper Club Zurich,8,33,22,,,unihockey prime league 24/25 regular season league
sr:competition:313,sr:season:121415,Unihockey Prime League 24/25,sr:competitor:7992,UHC Alligator Malans,9,30,22,,,unihockey prime league 24/25 regular season league
sr:competition:313,sr:season:121415,Unihockey Prime League 24/25,sr:competitor:7986,Chur Unihockey,10,26,22,,,unihockey prime league 24/25 regular season league
sr:competition:313,sr:season:121415,Unihockey Prime League 24/25,sr:competitor:557142,Unihockey Basel Regio,11,11,22,,,unihockey prime league 24/25 regular season league
sr:competition:313,sr:season:121415,Unihockey Prime League 24/25,sr:competitor:22049,UHC Waldkirch-St. Gallen,12,5,22,,,unihockey prime league 24/25 regular season league
sr:competition:313,sr:season:132924,Unihockey Prime League 25/26,sr:competitor:7990,SV Wiler-Ersigen,1,53,22,,,unihockey prime league 25/26 regular season league
sr:competition:313,sr:season:132924,Unihockey Prime League 25/26,sr:competitor:40235,Zug United,2,50,22,,,unihockey prime league 25/26 regular season league
sr:competition:313,sr:season:132924,Unihockey Prime League 25/26,sr:competitor:7991,Unihockey Tigers Langnau,3,48,22,,,unihockey prime league 25/26 regular season league
sr:competition:313,sr:season:132924,Unihockey Prime League 25/26,sr:competitor:146822,Floorball Thurgau,4,44,22,,,unihockey prime league 25/26 regular season league
sr:competition:313,sr:season:132924,Unihockey Prime League 25/26,sr:competitor:7987,Floorball Koniz,5,41,22,,,unihockey prime league 25/26 regular season league
sr:competition:313,sr:season:132924,Unihockey Prime League 25/26,sr:competitor:7994,UHC Uster,6,36,22,,,unihockey prime league 25/26 regular season league
sr:competition:313,sr:season:132924,Unihockey Prime League 25/26,sr:competitor:7989,HC Rychenberg Winterthur,7,33,22,,,unihockey prime league 25/26 regular season league
sr:competition:313,sr:season:132924,Unihockey Prime League 25/26,sr:competitor:7988,Grasshopper Club Zurich,8,24,22,,,unihockey prime league 25/26 regular season league
sr:competition:313,sr:season:132924,Unihockey Prime League 25/26,sr:competitor:557142,Unihockey Basel Regio,9,20,22,,,unihockey prime league 25/26 regular season league
sr:competition:313,sr:season:132924,Unihockey Prime League 25/26,sr:competitor:7992,UHC Alligator Malans,10,18,22,,,unihockey prime league 25/26 regular season league
sr:competition:313,sr:season:132924,Unihockey Prime League 25/26,sr:competitor:7986,Chur Unihockey,11,15,22,,,unihockey prime league 25/26 regular season league
sr:competition:313,sr:season:132924,Unihockey Prime League 25/26,sr:competitor:22049,UHC Waldkirch-St. Gallen,12,14,22,,,unihockey prime league 25/26 regular season league
sr:competition:318,sr:season:108067,Eliteserien 23/24,sr:competitor:4168,Tunet IBK,1,61,22,,,eliteserien 23/24 regular season league
sr:competition:318,sr:season:108067,Eliteserien 23/24,sr:competitor:4176,Greaker IBK,2,57,22,,,eliteserien 23/24 regular season league
sr:competition:318,sr:season:108067,Eliteserien 23/24,sr:competitor:4174,IBK Slevik,3,56,22,,,eliteserien 23/24 regular season league
sr:competition:318,sr:season:108067,Eliteserien 23/24,sr:competitor:4169,Nor 92 IBK,4,39,22,,,eliteserien 23/24 regular season league
sr:competition:318,sr:season:108067,Eliteserien 23/24,sr:competitor:7996,Harstad IBK,5,36,22,,,eliteserien 23/24 regular season league
sr:competition:318,sr:season:108067,Eliteserien 23/24,sr:competitor:4170,Sveiva IBK,6,35,22,,,eliteserien 23/24 regular season league
sr:competition:318,sr:season:108067,Eliteserien 23/24,sr:competitor:4172,Sarpsborg SK,7,27,22,,,eliteserien 23/24 regular season league
sr:competition:318,sr:season:108067,Eliteserien 23/24,sr:competitor:610438,Vaalerenga IF,8,21,22,,,eliteserien 23/24 regular season league
sr:competition:318,sr:season:108067,Eliteserien 23/24,sr:competitor:7995,Gjellerasen Fighters,9,21,22,,,eliteserien 23/24 regular season league
sr:competition:318,sr:season:108067,Eliteserien 23/24,sr:competitor:117616,IK Akerselva,10,18,22,,,eliteserien 23/24 regular season league
sr:competition:318,sr:season:108067,Eliteserien 23/24,sr:competitor:225494,Sandnes IBK,11,17,22,,,eliteserien 23/24 regular season league
sr:competition:318,sr:season:108067,Eliteserien 23/24,sr:competitor:686273,Ull/Kisa,12,8,22,,,eliteserien 23/24 regular season league
sr:competition:318,sr:season:108067,Eliteserien 23/24,sr:competitor:1114191,Ajer,2,5,3,,,"eliteserien 23/24, relegation/promotion regular season league"
sr:competition:318,sr:season:108067,Eliteserien 23/24,sr:competitor:686269,Sjetne,3,4,3,,,"eliteserien 23/24, relegation/promotion regular season league"
sr:competition:318,sr:season:108067,Eliteserien 23/24,sr:competitor:686271,Narvik,4,0,3,,,"eliteserien 23/24, relegation/promotion regular season league"
sr:competition:318,sr:season:121375,Eliteserien 24/25,sr:competitor:4174,IBK Slevik,1,61,22,,,eliteserien 24/25 regular season league
sr:competition:318,sr:season:121375,Eliteserien 24/25,sr:competitor:4168,Tunet IBK,2,56,22,,,eliteserien 24/25 regular season league
sr:competition:318,sr:season:121375,Eliteserien 24/25,sr:competitor:4176,Greaker IBK,3,55,22,,,eliteserien 24/25 regular season league
sr:competition:318,sr:season:121375,Eliteserien 24/25,sr:competitor:4172,Sarpsborg SK,4,45,22,,,eliteserien 24/25 regular season league
sr:competition:318,sr:season:121375,Eliteserien 24/25,sr:competitor:4170,Sveiva IBK,5,40,22,,,eliteserien 24/25 regular season league
