competition_id,competition_name,season_id,season_name,match_id,start_time,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:48259417,2024-03-10T16:00:00+00:00,sr:competitor:22049,UHC Waldkirch-St. Gallen,sr:competitor:7986,Chur Unihockey,4,3
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48285863,2024-03-10T17:00:00+00:00,sr:competitor:630970,Black Angels Prague,sr:competitor:44611,Sokoli Pardubice,3,1
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:48350509,2024-03-11T18:00:00+00:00,sr:competitor:4172,Sarpsborg SK,sr:competitor:4176,Greaker IBK,4,10
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:48350501,2024-03-11T18:00:00+00:00,sr:competitor:4169,Nor 92 IBK,sr:competitor:4170,Sveiva IBK,2,9
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:48350497,2024-03-11T18:00:00+00:00,sr:competitor:4168,Tunet IBK,sr:competitor:610438,Vaalerenga IF,10,6
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48466941,2024-03-12T16:30:00+00:00,sr:competitor:37852,1. SC Vitkovice Ostrava,sr:competitor:44610,FbS Bohemians Prague,1,3
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48466939,2024-03-12T17:30:00+00:00,sr:competitor:44609,Florbal Mlada Boleslav,sr:competitor:44607,FBC Liberec,10,1
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48466943,2024-03-12T18:00:00+00:00,sr:competitor:44614,Florbal Chodov,sr:competitor:44604,Sparta Prague,8,4
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48466937,2024-03-12T18:30:00+00:00,sr:competitor:25902,Tatran Stresovice,sr:competitor:331853,FBC Ceska Lipa,11,4
sr:competition:306,F-Liiga,sr:season:108077,F-Liiga 23/24,sr:sport_event:48537047,2024-03-13T16:30:00+00:00,sr:competitor:4159,Oilers Espoo,sr:competitor:282983,LASB Lahti,13,2
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48466949,2024-03-13T16:30:00+00:00,sr:competitor:37852,1. SC Vitkovice Ostrava,sr:competitor:44610,FbS Bohemians Prague,6,1
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48466947,2024-03-13T17:00:00+00:00,sr:competitor:44609,Florbal Mlada Boleslav,sr:competitor:44607,FBC Liberec,9,8
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:48350507,2024-03-13T18:00:00+00:00,sr:competitor:4176,Greaker IBK,sr:competitor:4172,Sarpsborg SK,5,0
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48466945,2024-03-13T18:00:00+00:00,sr:competitor:25902,Tatran Stresovice,sr:competitor:331853,FBC Ceska Lipa,7,3
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48466951,2024-03-13T18:00:00+00:00,sr:competitor:44614,Florbal Chodov,sr:competitor:44604,Sparta Prague,4,2
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:47918345,2024-03-13T18:30:00+00:00,sr:competitor:7991,Unihockey Tigers Langnau,sr:competitor:7990,SV Wiler-Ersigen,2,7
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:47918427,2024-03-13T18:30:00+00:00,sr:competitor:7992,UHC Alligator Malans,sr:competitor:40235,Zug United,2,9
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:47918581,2024-03-13T18:30:00+00:00,sr:competitor:7987,Floorball Koniz,sr:competitor:7988,Grasshopper Club Zurich,6,5
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:48465421,2024-03-14T18:00:00+00:00,sr:competitor:4170,Sveiva IBK,sr:competitor:4169,Nor 92 IBK,5,6
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:47918337,2024-03-14T18:30:00+00:00,sr:competitor:146822,Floorball Thurgau,sr:competitor:7989,HC Rychenberg Winterthur,5,4
sr:competition:306,F-Liiga,sr:season:108077,F-Liiga 23/24,sr:sport_event:48537051,2024-03-15T16:30:00+00:00,sr:competitor:4161,SC Classic Tampere,sr:competitor:4158,Happee Jyvaskyla,4,3
sr:competition:306,F-Liiga,sr:season:108077,F-Liiga 23/24,sr:sport_event:48537055,2024-03-15T16:30:00+00:00,sr:competitor:25241,Nokian KRP,sr:competitor:6584,SPV,6,2
sr:competition:306,F-Liiga,sr:season:108077,F-Liiga 23/24,sr:sport_event:48537063,2024-03-15T16:30:00+00:00,sr:competitor:65930,Westend Indians,sr:competitor:7984,TPS Turku,3,2
